Symbol,Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (),Beta,R2,Volatility_Per,Monthly Return,Avg_Impact_Cost_percent,report_date
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,846136535,20425,1.24,0.36,0.06,1.61,-2.77,0.07,2011-01-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,846168735,20934.24,1.21,0.52,0.16,1.17,1.52,0.08,2011-04-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,846168735,20622,1.17,0.51,0.14,1.76,6.02,0.08,2011-03-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,846263660,20333,1.22,0.51,0.14,1.75,-2.89,0.08,2011-05-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,846263660,19277,1.14,0.57,0.18,1.19,-5.2,0.07,2011-06-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,846959090,19974,1.22,0.59,0.2116,1.55,3.53,0.08,2011-07-01
GLAXO,Pharmaceuticals,,"847,030,170",6928,0.23,0.47,0.18,2.92,-20.37,0.18,2008-01-01
GLAXO,Pharmaceuticals,,"847,030,170",9412,0.31,0.44,0.16,2.09,35.85,0.18,2008-02-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,847379160,18696,1.26,0.57,0.23,1.12,-0.86,0.09,2011-09-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,847379160,21061,1.3,0.59,0.26,1.51,14.42,0.08,2011-10-01
DRREDDY,,,847379160,18858,36,0.59,0.23,1.6,-5.68,0.11,2011-08-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,847588870,32754.31,0.94,1.31,0.25,1.39,1.92,0.03,2017-04-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,847588870,32135.91,0.94,1.3,0.26,2.08,14.51,0.02,2017-03-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,847632430,19899,1.42,0.58,0.5,1.07,0.03,0.07,2011-12-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,847632430,19894,1.36,0.62,0.26,1.83,-5.58,0.09,2011-11-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,847720255,20719,1.27,0.528359614,0.220086506,1.088477251,-2.784435567,0.07,2012-02-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,847720255,22258,1.36,0.48,0.2,0.89,7.43,0.07,2012-03-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,847720255,21311,1.35,0.570517495,0.251054232,1.25,7.09,0.07,2012-01-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,847801730,22238,1.36,0.44,0.16,1.48,-0.1,0.07,2012-04-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,847801730,21263,1.38,0.4,0.15,0.93,-4.39,0.08,2012-05-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,847801730,20790.19,1.26,0.41,0.15,1.29,-2.22,0.05,2012-06-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,848625648,37426.77,1.03,1.24,0.2,2.15,14.13,0.03,2017-05-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,848625648,34703.44,0.96,1.24,0.19,1.35,-7.28,0.03,2017-06-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,848625648,37899.2,0.99,1.21,0.19,1.57,9.21,0.03,2017-07-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,848625648,39197.17,1.05,1.33,0.22,1.87,3.42,0.03,2017-08-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,848704090,20393.07,1.25,0.36,0.12,1.12,-2.01,0.06,2012-07-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,848762280,38892.24,0.99,1.11,0.13,1.47,-3.07,0.02,2017-11-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,848762280,38921.27,1.03,1.32,0.21,1.86,-0.72,0.03,2017-09-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,848762280,40124.3,1.01,1.21,0.17,1.69,3.09,0.02,2017-10-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,849039565,22200.42,1.25,0.21,0.03,1.22,6.74,0.05,2012-10-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,849039565,21203.2,1.29,0.32,0.1,0.74,3.88,0.05,2012-08-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,849169975,22192,1.22,0.18,0.02,1.25,-8.37,0.04,2013-02-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,849169975,23000.15,1.23,0.16,0.02,0.99,3.58,0.05,2012-11-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,849169975,24220.06,1.26,0.16,0.02,0.95,4.71,0.05,2013-01-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,849169975,23130.99,1.23,0.19,0.03,0.82,0.57,0.06,2012-12-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,849182375,25640,1.35,0.28,0.04,1.72,14.81,0.06,2013-04-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,849182375,22331.73,1.23,0.19,0.02,0.81,0.63,0.05,2013-03-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,849182375,26447,1.38,0.31,0.05,1.23,3.15,0.05,2013-05-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,849182375,28050,1.49,0.31,0.05,1.41,6.06,0.05,2013-06-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,849961280,28865,1.58,0.46,0.09,1.85,2.81,0.05,2013-07-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,850342595,29040,1.67,0.52,0.13,2,0.51,0.07,2013-08-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,850498675,31477.93,1.560008016,0.508302452,0.155473179,0.063998803,1.156163491,0.06,2013-11-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,850498675,30163,1.615133639,0.528539963,0.399656412,0.201847286,3.848837716,0.08,2013-09-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,850498675,31116.19,1.52,0.52,0.4,1.37,3.16,0.06,2013-10-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,850498675,33058,1.65620068,0.513133016,0.165980918,0.876638194,2.957074095,0.05,2014-01-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,850498675,32108.81,1.552817023,0.514940993,0.162115469,0.960571619,2.004185448,0.06,2013-12-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,850544340,36682.73,1.77530632,0.505047575,0.158856113,1.438347483,10.95782798,0.05,2014-02-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,850544340,34284,1.53,0.47,0.13,1.31,5.55,0.05,2014-04-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,850544340,32481.73,1.446440686,0.468762498,0.126821189,1.529696018,-11.4522535,0.05,2014-03-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,850544340,31174,1.28,0.39,0.08,2,-9.07,0.07,2014-05-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,850544340,33244,1.3,0.35,0.06,1.33,6.64,0.05,2014-06-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,851395040,35619.33,1.37,0.28,0.04,1.27,7.04,0.06,2014-07-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,851675195,37413.91,1.4,0.2,0.02,1.17,0.22,0.05,2014-08-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,851829195,45781,1.58,0.1,0,1.29,13.82,0.05,2014-11-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,851829195,40218,1.43,0.16,0.01,1.77,-1.9,0.05,2014-10-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,851829195,41045,1.38,0.27,0.02,1.96,-0.4,0.05,2015-01-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,851829195,41210,1.47,0.19,0.01,1.88,-9.98,0.05,2014-12-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,851865488,38735.01,0.95,1.18,0.14,1,-0.77,0.03,2017-12-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,851865488,40596.33,1,1.34,0.2,2.01,-9.84,0.03,2018-02-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,851865488,40050.88,1.03,1.2,0.18,1.57,-1.34,0.03,2018-03-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,851865488,45026.29,1.06,1.26,0.16,1.9,16.24,0.03,2017-01-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,851865488,45026.29,1.06,1.26,0.16,1.9,16.24,0.03,2018-01-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,851898645,42519.02,1.4,0.3,0.02,1.77,3.58,0.05,2015-02-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,851898645,44292.63,1.5,0.37,0.04,1.34,4.17,0.05,2015-03-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,851905870,42026.78,1.47,0.49,0.07,1.91,-5.12,0.05,2015-04-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,851905870,44884.69,1.5,0.62,0.12,1.56,6.8,0.05,2015-05-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,851905870,45191.94,1.53,0.71,0.16,1.13,0.68,0.05,2015-06-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,852789610,52906.14,1.87,0.76,0.21,1.95,-3.26,0.04,2015-09-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,852789610,54689.44,1.94,0.75,0.2,1.77,5.56,0.06,2015-08-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,852789610,51805.19,1.71,0.76,0.18,1.79,14.51,0.05,2015-07-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,852942575,54410.03,1.89,0.73,0.19,1.46,2.82,0.02,2015-10-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,852942575,39491.09,1.39,0.74,0.14,4.06,-27.39,0.02,2015-11-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,852942575,39501.25,1.39,0.73,0.14,1.58,0.03,0.02,2015-12-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,853038265,40186.53,1.35,0.74,0.15,1.64,3.06,0.03,2016-05-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,853038265,42693.85,1.41,0.73,0.14,1.34,6.24,0.03,2016-06-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,853038265,38332.55,1.53,0.78,0.16,2.05,-2.23,0.03,2016-02-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,853038265,38994.73,1.36,0.71,0.14,0.86,1.76,0.02,2016-04-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,853038265,38319.3,1.38,0.78,0.16,2.07,-0.03,0.03,2016-03-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,853038265,39465.02,1.46,0.78,0.15,1.99,-0.1,0.02,2016-01-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,853038265,37058.69,1.17,0.69,0.11,2.84,-13.2,0.02,2016-07-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,853071572,40284.26,0.95,1.33,0.23,2.03,-4.92,0.03,2018-05-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,853071572,42368.65,1,1.23,0.19,1.65,5.64,0.03,2018-04-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,853185642,37528.44,0.89,1.41,0.26,1.9,-8.06308844,0.03,2018-06-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,853185642,41363.4,0.9,1.43,0.24,1.93,-2.91,0.03,2018-08-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,853185642,42605.04,0.95,1.4,0.25,1.99,13.53,0.03,2018-07-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,853391352,28418.06,0.65,2.07,0.27,3.89,19.32,0.04,2018-12-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,853391352,21808.2,0.51,2.12,0.26,3.15,-1.42,0.04,2019-02-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,853391352,23816.79,0.55,2,0.26,2.41,-14.26,0.04,2018-11-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,853391352,27777.38,0.67,2.1,0.29,7.09,-2.6,0.06,2018-10-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,853391352,28517.91,0.65,1.7,0.26,4.49,-31.95552908,0.09,2018-09-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,853391352,22122.72,0.51,2.03,0.26,2.21,-22.15,0.03,2019-01-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,853489715,39251.58,1.24,0.72,0.1,0.83,0.57,0.03,2016-09-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,853489715,41997.7,1.32,0.74,0.11,1.31,7,0.02,2016-10-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,853489715,39029.9,1.21,0.72,0.11,0.75,5.26,0.02,2016-08-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,853941445,38155.68,1.27,0.64,0.13,0.9,-4.27,0.02,2016-12-01
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,853941445,39857.49,1.32,0.67,0.14,2.02,-3.85,0.03,2016-11-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,854806678,26221.58,0.55,2.32,0.28,3.53,13.1,0.04,2019-05-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,854806678,23184.54,0.49,2.29,0.26,3.12,-18.97,0.04,2019-04-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,854806678,28611.88,0.61,2.29,0.27,3.48,30.98,0.03,2019-03-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,855148182,20267.27,0.42,2.35,0.26,5.33,-22.74,0.04,2019-06-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,855148182,17862.68,0.39,2.43,0.27,4.01,-11.86,0.04,2019-07-01
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,855148182,15186.28,0.34,2.36,0.23,6.48,-14.98,0.06,2019-08-01
SESAGOA,Sesa Goa Ltd.,MINING,859702559,12504,0.68,1.47,0.34,1.77,6.78,0.07,2010-12-01
SESAGOA,Sesa Goa Ltd.,MINING,859702559,9941,0.62,1.29,0.29,2.75,-19.9,0.08,2011-02-01
SESAGOA,Sesa Goa Ltd.,MINING,859702559,11711,0.67,1.46,0.35,2.08,-6.2,0.08,2010-11-01
SESAGOA,Sesa Goa Ltd.,MINING,859702559,12240,0.69,1.52,0.36,2.61,-6.8,0.08,2010-10-01
SESAGOA,Sesa Goa Ltd.,MINING,859702559,11946.68,0.69,1.31,0.32,2.59,7.74,0.05,2011-04-01
SESAGOA,Sesa Goa Ltd.,MINING,859702559,11088,0.63,1.29,0.32,2.02,11.54,0.06,2011-03-01
SESAGOA,Sesa Goa Ltd.,MINING,859702559,12411,0.76,1.36,0.3,2.29,-4.12,0.07,2011-01-01
SESAGOA,Sesa Goa Ltd.,MINING,869101423,8361,0.51,1.230060959,0.340162518,3.433983448,-1.628813948,0.09,2012-02-01
SESAGOA,Sesa Goa Ltd.,MINING,869101423,6039,0.33,1.66,0.46,1.73,-16.99,0.08,2013-02-01
SESAGOA,Sesa Goa Ltd.,MINING,869101423,6191,0.33,1.55,0.38,2.08,2.09,0.07,2013-04-01
SESAGOA,Sesa Goa Ltd.,MINING,869101423,11306,0.68,1.16,0.29,1.98,-7.65,0.07,2011-05-01
SESAGOA,Sesa Goa Ltd.,MINING,869101423,6674.64,0.38,1.64,0.46,1.3,-0.03,0.07,2012-10-01
SESAGOA,Sesa Goa Ltd.,MINING,869101423,7105.57,0.38,1.65,0.45,1.6,6.46,0.07,2012-11-01
SESAGOA,Sesa Goa Ltd.,MINING,869101423,7347,0.45,1.33,0.39,2.12,-3.24,0.08,2012-04-01
SESAGOA,Sesa Goa Ltd.,MINING,869101423,6372,0.45,1.09,0.57,2.9,-10.95,0.11,2011-12-01
SESAGOA,Sesa Goa Ltd.,MINING,869101423,4986,0.27,1.48,0.37,2.95,-10.47,0.09,2013-07-01
SESAGOA,Sesa Goa Ltd.,MINING,869101423,7275.22,0.38,1.68,0.44,1.48,-4.55,0.07,2013-01-01
SESAGOA,Sesa Goa Ltd.,MINING,869101423,6686.34,0.41,1.36,0.39,2,-9.86,0.07,2012-08-01
SESAGOA,Sesa Goa Ltd.,MINING,869101423,7593,0.47,1.28,0.36,2.6,-9.19,0.09,2012-03-01
SESAGOA,Sesa Goa Ltd.,MINING,869101423,11000,0.65,1.07,0.27,2.08,-2.71,0.06,2011-06-01
SESAGOA,Sesa Goa Ltd.,MINING,869101423,8500,0.54,1.174152555,0.334951145,3.28,33.38,0.09,2012-01-01
SESAGOA,Sesa Goa Ltd.,MINING,869101423,7417.56,0.45,1.38,0.41,2.18,-0.76,0.06,2012-07-01
SSLT,Vedanta Ltd.,MINING,869101423,6064.31,0.33,1.67,0.43,2.18,0.42,0.08,2013-03-01
SESAGOA,Sesa Goa Ltd.,MINING,869101423,7361,0.42,1.56,0.3,6.52,47.63,0.13,2013-08-01
SESAGOA,Sesa Goa Ltd.,MINING,869101423,7299,0.47,1.36,0.39,2.45,-0.66,0.08,2012-05-01
SESAGOA,Sesa Goa Ltd.,MINING,869101423,7821,0.53,1.02,0.27,1.98,-14.31,0.09,2011-09-01
SESAGOA,Sesa Goa Ltd.,MINING,869101423,8086,0.5,0.98,0.27,2.68,6.72,0.08,2011-10-01
SESAGOA,Sesa Goa Ltd.,MINING,869101423,6392,0.33,1.4,0.34,2.03,3.24,0.08,2013-05-01
SESAGOA,Sesa Goa Ltd.,MINING,869101423,7156,0.49,1.04,0.29,2.74,-11.5,0.08,2011-11-01
SESAGOA,Sesa Goa Ltd.,MINING,869101423,7622.31,0.41,1.69,0.43,1.96,7.27,0.08,2012-12-01
SESAGOA,Sesa Goa Ltd.,MINING,869101423,5569,0.3,1.47,0.39,2.11,-12.87,0.09,2013-06-01
SESAGOA,Sesa Goa Ltd.,MINING,869101423,7474.11,0.45,1.33,0.38,2.19,2.4,0.09,2012-06-01
SESAGOA,Sesa Goa Ltd.,MINING,869101423,10727,0.65,1.05,0.2601,1.95,-2.48,0.06,2011-07-01
SESAGOA,,,869101423,9128,17,1.12,0.31,3.48,-14.91,0.09,2011-08-01
TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,37557.53,0.89,1.02,0.08,1.31,-8.32,0.02,2018-05-01
TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,51562.84,1.07,0.86,0.17,1.73,6.66,0.02,2019-05-01
TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,38846.86,0.89,0.89,0.16,1.61,0.42,0.02,2018-12-01
TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,55691.62,1.16,0.79,0.16,1.23,8.01,0.02,2019-06-01
TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,36656.25,0.87,1.06,0.11,2,-2.39973336,0.02,2018-06-01
TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,42777.44,0.99,0.83,0.15,1.41,2.95,0.02,2019-02-01
TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,53119.22,1.13,0.96,0.25,2.61,15.2,0.02,2019-09-01
TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,48341.6,1.02,0.85,0.16,0.99,1.46,0.02,2019-04-01
TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,38684.13,0.89,0.92,0.16,1.62,9.77,0.02,2018-11-01
TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,40966.54,0.97,1.08,0.09,1.45,4.19,0.02,2018-04-01
TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,35241.74,0.85,1,0.13,2.63,4.84,0.03,2018-10-01
TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,33614.42,0.77,1.03,0.11,1.89,-9.67597264,0.02,2018-09-01
TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,37215.37,0.81,0.99,0.09,1.43,-2.24,0.02,2018-08-01
TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,41550.7,0.96,0.85,0.16,1.11,6.96,0.02,2019-01-01
TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,44077.21,0.97,0.79,0.15,2.75,-20.85,0.02,2019-07-01
TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,46111.35,1.03,0.84,0.18,1.49,4.61,0.03,2019-08-01
TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,47644.78,1.02,0.89,0.17,0.89,11.38,0.02,2019-03-01
TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,38068.67,0.85,1.03,0.1,2.05,3.85,0.02,2018-07-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,894035026,13442.83,0.76,0.2,0.02,1.6,-4.95,0.07,2012-10-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,894401674,14037.33,0.75,0.2,0.02,1.15,4.33,0.06,2012-11-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,894773762,14586.12,0.78,0.22,0.02,1.01,3.87,0.06,2012-12-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,894828400,14360.07,0.75,0.23,0.02,0.87,-1.56,0.05,2013-01-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,894930852,13912,0.77,0.24,0.02,1.2,-3.2,0.05,2013-02-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,894991780,14950.42,0.82,0.17,0.01,0.8,7.45,0.05,2013-03-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,895058986,16713,0.88,0.27,0.03,1.42,11.78,0.06,2013-04-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,895274204,17556,0.91,0.47,0.08,1.43,5,0.05,2013-05-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,895427736,18601,0.99,0.5,0.09,1.55,5.93,0.06,2013-06-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,895485174,20737,1.13,0.43,0.06,1.69,11.48,0.05,2013-07-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,895620124,18964,1.09,0.53,0.11,2.64,-8.6,0.07,2013-08-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,895970090,20392,1.09194572,0.461747017,0.307364668,0.379778941,7.491836222,0.06,2013-09-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,895970090,21155.98,1.03,0.48,0.33,1.44,3.74,0.05,2013-10-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,896140514,20407.44,1.011367763,0.448967572,0.099731795,-0.180307357,-3.609640725,0.05,2013-11-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,896355852,21659.71,1.047487494,0.412838899,0.086455267,1.09400698,6.110883917,0.06,2013-12-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,896452188,21036,1.053886299,0.408939746,0.084179592,1.28231176,-2.890491659,0.06,2014-01-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,896637032,23758.98,1.149845631,0.384150412,0.071637699,1.582687089,12.87560948,0.04,2014-02-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,896710684,22273.86,0.991875215,0.380351389,0.067985313,1.095059339,-6.258476066,0.06,2014-03-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,896751608,23622,1.05,0.37,0.06,1.19,6.05,0.07,2014-04-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,896868110,22351,0.92,0.25,0.03,1.46,-5.42,0.07,2014-05-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,896940598,25030,0.98,0.21,0.02,1.11,11.98,0.07,2014-06-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,897066450,28227.24,1.09,0.24,0.03,1.58,12.76,0.09,2014-07-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,897105598,30713.81,1.15,0.09,0,0.98,0.46,0.07,2014-08-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,897852490,32740,1.16,0.22,0.02,1.47,-1.91,0.06,2014-10-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,898083228,35440,1.22,0.24,0.02,1.04,8.14,0.05,2014-11-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,898215552,34188,1.22,0.35,0.04,1.26,-3.55,0.06,2014-12-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,898423646,37964,1.27,0.39,0.05,1.31,11.02,0.06,2015-01-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,898663606,41869.78,1.38,0.46,0.08,1.54,10.2,0.06,2015-02-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,898719508,48139.04,1.63,0.48,0.09,1.6,14.97,0.05,2015-03-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,898976670,42498.14,1.48,0.52,0.09,2.2,-11.74,0.04,2015-04-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,899562640,44005.78,1.48,0.67,0.15,2.14,3.42,0.05,2015-05-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,899669776,45278.6,1.53,0.72,0.16,1.72,2.88,0.05,2015-06-01
LUPIN,Lupin Ltd.,PHARMACEUTICALS,899769684,40737.38,1.35,0.79,0.18,2.28,-10.04,0.05,2015-07-01
